Game 1,Home Side Selection,Winner,ProDraft Spectate Link,Match History Link,Blue Player,Blue Champion,Red Player,Red Champion
,G Who,Blue,n/a,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3402543997/a?tab=overview,Theash,Ornn,ATXGAMER24,Mordekaiser
,,,,,Pornstar Evelynn,Amumu,Arkange1,Malphite
,,,,,Why SØ Serious,Syndra,Mansdferg,Sylas
,,,,,Åd Ćurry,Ezreal,The Cokester,Ashe
,,,,,38inchHorseDong,Morgana,Skellybob,Zyra

Game 2,Away Side Selection,Winner,ProDraft Spectate Link,Match History Link,Blue Player,Blue Champion,Red Player,Red Champion
,Kamikaze Penguins,Red,n/a,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3402544383/a?tab=overview,ATXGAMER24,Maokai,Theash,Sett
,,,,,Arkange1,Rammus,Pornstar Evelynn,Elise
,,,,,Mansdferg,Corki,Why SØ Serious,Talon
,,,,,The Cokester,Draven,Åd Ćurry,Xayah
,,,,,Skellybob,Yuumi,38inchHorseDong,Nautilus

