Game 1,Home Side Selection,Winner,ProDraft Spectate Link,Match History Link,Blue Player,Blue Champion,Red Player,Red Champion
,Helix,Blue,http://prodraft.leagueoflegends.com/?draft=41b85c00-3803-11ea-a3cf-e53cf969c5b5&locale=en_US,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3265200024/218735506?tab=overview,Źilla,Ornn,Charmello,Sion
,,,,,Grayley,Zac,LuckyMaverick,Sejuani
,,,,,SoloCarrys,Neeko,FoozleBamboozle,Orianna
,,,,,Aziingy,KaiSa,THE TIDSY,Xayah
,,,,,ibGroggy,Nautilus,Táisa,Janna

Game 2,Away Side Selection,Winner,ProDraft Spectate Link,Match History Link,Blue Player,Blue Champion,Red Player,Red Champion
,Spacemen Spiff,Red,http://prodraft.leagueoflegends.com/?draft=06fcfbe0-380b-11ea-9d61-0578d3b96d57&locale=en_US,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3264931061/218735506?tab=overview,Charmello,Mordekaiser,Źilla,Ornn
,,,,,LuckyMaverick,XinZhao,Grayley,Olaf
,,,,,FoozleBamboozle,Orianna,SoloCarrys,Fizz
,,,,,THE TIDSY,Varus,Aziingy,KaiSa
,,,,,Táisa,Nami,ibGroggy,Nautilus

