Game 1,Home Side Selection,Winner,ProDraft Spectate Link,Match History Link,Blue Player,Blue Champion,Red Player,Red Champion
,Kamikaze Penguins,Blue,N/a,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3185308166/38763776?tab=overview,ßæst,Nasus,Koite,Vladimir
,,,,,AlwayzGunnaGame,Amumu,Butterfreelo,Rammus
,,,,,Mansdferg,Corki,DeltaTerra,TwistedFate
,,,,,Asuv,Swain,Electro134324,Tristana
,,,,,ßæuty,Blitzcrank,Ansem571,Thresh

Game 2,Away Side Selection,Winner,ProDraft Spectate Link,Match History Link,Blue Player,Blue Champion,Red Player,Red Champion
,Shien's Samurais,Blue,N/a,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3185308531/38763776?tab=overview,Koite,Vladimir,ßæst,Malphite
,,,,,Butterfreelo,Amumu,AlwayzGunnaGame,Maokai
,,,,,DeltaTerra,Annie,Mansdferg,Sylas
,,,,,Electro134324,Xayah,Asuv,Caitlyn
,,,,,Ansem571,Leona,ßæuty,Thresh

